Generation, Pareto Front, Average Fitness, Average Complexity
./generations/generation0,all,13.1211,140
./generations/generation0,1,0.981171,140
./generations/generation0,2,1.56874,140
./generations/generation0,3,1.64425,140
./generations/generation0,4,1.87567,140
./generations/generation0,5,2.04751,140
./generations/generation0,6,2.13863,140
./generations/generation0,7,2.51133,140
./generations/generation0,8,2.53306,140
./generations/generation0,9,2.74162,140
./generations/generation0,10,2.82737,140
./generations/generation0,11,2.85672,140
./generations/generation0,12,2.97005,140
./generations/generation0,13,3.28803,140
./generations/generation0,14,3.43581,140
./generations/generation0,15,3.63641,140
./generations/generation0,16,3.92924,140
./generations/generation0,17,3.99507,140
./generations/generation0,18,4.04053,140
./generations/generation0,19,4.0569,140
./generations/generation0,20,4.23826,140
./generations/generation0,21,4.43439,140
./generations/generation0,22,4.48417,140
./generations/generation0,23,4.57514,140
./generations/generation0,24,4.63651,140
./generations/generation0,25,4.66267,140
./generations/generation0,26,4.67534,140
./generations/generation0,27,4.76156,140
./generations/generation0,28,5.31864,140
./generations/generation0,29,5.37374,140
./generations/generation0,30,5.56474,140
./generations/generation0,31,5.71933,140
./generations/generation0,32,6.97343,140
./generations/generation0,33,7.37827,140
./generations/generation0,34,7.68233,140
./generations/generation0,35,8.26451,140
./generations/generation0,36,8.4589,140
./generations/generation0,37,8.94246,140
./generations/generation0,38,9.40839,140
./generations/generation0,39,10.0333,140
./generations/generation0,40,10.0971,140
./generations/generation0,41,10.1842,140
./generations/generation0,42,10.1908,140
./generations/generation0,43,10.5155,140
./generations/generation0,44,10.8726,140
./generations/generation0,45,11.0855,140
./generations/generation0,46,11.0861,140
./generations/generation0,47,11.8488,140
./generations/generation0,48,12.0837,140
./generations/generation0,49,12.4536,140
./generations/generation0,50,13.3417,140
./generations/generation0,51,13.4167,140
./generations/generation0,52,13.6097,140
./generations/generation0,53,13.924,140
./generations/generation0,54,13.9584,140
./generations/generation0,55,13.99,140
./generations/generation0,56,14.4067,140
./generations/generation0,57,14.4221,140
./generations/generation0,58,14.4416,140
./generations/generation0,59,14.4847,140
./generations/generation0,60,14.6164,140
./generations/generation0,61,17.0779,140
./generations/generation0,62,17.5512,140
./generations/generation0,63,17.5529,140
./generations/generation0,64,17.9024,140
./generations/generation0,65,17.9642,140
./generations/generation0,66,18.9713,140
./generations/generation0,67,36.6689,140
./generations/generation0,68,39.9643,140
./generations/generation0,69,40.1577,140
./generations/generation0,70,49.3587,140
./generations/generation0,71,55.8515,140
./generations/generation0,72,63.2135,140
./generations/generation0,73,66.9376,140
./generations/generation0,74,68.0962,140
./generations/generation0,75,-nan,-nan
./generations/generation1,all,5.12545,138.24
./generations/generation1,1,2.41005,129.2
./generations/generation1,2,1.99769,135.333
./generations/generation1,3,2.973,134
./generations/generation1,4,1.56874,140
./generations/generation1,5,3.63088,133
./generations/generation1,6,14.3192,128.5
./generations/generation1,7,23.2875,132.667
./generations/generation1,8,8.02091,134.667
./generations/generation1,9,3.32308,138.667
./generations/generation1,10,2.90246,139
./generations/generation1,11,4.00587,138
./generations/generation1,12,2.04751,140
./generations/generation1,13,3.32729,139
./generations/generation1,14,3.40065,139.5
./generations/generation1,15,5.32288,138
./generations/generation1,16,3.51142,139.333
./generations/generation1,17,2.53306,140
./generations/generation1,18,5.76648,139.25
./generations/generation1,19,2.74162,140
./generations/generation1,20,10.8183,138
./generations/generation1,21,2.82737,140
./generations/generation1,22,7.34712,139
./generations/generation1,23,7.46432,139
./generations/generation1,24,8.4433,139
./generations/generation1,25,2.97005,140
./generations/generation1,26,3.02034,140
./generations/generation1,27,3.28803,140
./generations/generation1,28,3.29981,140
./generations/generation1,29,3.36073,140
./generations/generation1,30,3.43581,140
./generations/generation1,31,3.63641,140
./generations/generation1,32,3.92924,140
./generations/generation1,33,3.97083,140
./generations/generation1,34,3.99507,140
./generations/generation1,35,4.04053,140
./generations/generation1,36,4.03564,141
./generations/generation1,37,4.06464,140
./generations/generation1,38,4.20379,140
./generations/generation1,39,4.22441,140
./generations/generation1,40,4.23826,140
./generations/generation1,41,4.32703,140
./generations/generation1,42,4.23826,142
./generations/generation1,43,4.43439,140
./generations/generation1,44,4.48417,140
./generations/generation1,45,4.43439,141
./generations/generation1,46,4.57514,140
./generations/generation1,47,4.60084,140
./generations/generation1,48,4.63651,140
./generations/generation1,49,4.64215,140
./generations/generation1,50,4.66267,140
./generations/generation1,51,4.67534,140
./generations/generation1,52,4.76156,140
./generations/generation1,53,5.22854,140
./generations/generation1,54,5.26771,140
./generations/generation1,55,5.31864,140
./generations/generation1,56,5.37374,140
./generations/generation1,57,5.3883,140
./generations/generation1,58,5.46111,140
./generations/generation1,59,5.4683,143
./generations/generation1,60,5.71933,140
./generations/generation1,61,6.33385,140
./generations/generation1,62,6.82634,140
./generations/generation1,63,6.97343,140
./generations/generation1,64,7.37827,140
./generations/generation2,all,5.79241,133.42
./generations/generation2,1,2.25218,125.8
./generations/generation2,2,2.81373,125.667
./generations/generation2,3,2.68892,127.333
./generations/generation2,4,2.90856,131
./generations/generation2,5,4.99597,131.6
./generations/generation2,6,1.96373,136.4
./generations/generation2,7,3.30492,128
./generations/generation2,8,3.37546,128
./generations/generation2,9,2.05075,139
./generations/generation2,10,2.67199,134
./generations/generation2,11,2.84175,134.143
./generations/generation2,12,3.73009,132
./generations/generation2,13,3.53636,133.333
./generations/generation2,14,2.96869,134.5
./generations/generation2,15,6.4806,133.5
./generations/generation2,16,32.213,132
./generations/generation2,17,3.18517,134
./generations/generation2,18,3.63641,136
./generations/generation2,19,2.04751,140
./generations/generation2,20,8.71315,133
./generations/generation2,21,11.0855,129
./generations/generation2,22,10.0641,133.5
./generations/generation2,23,3.68151,136
./generations/generation2,24,21.8045,133.714
./generations/generation2,25,2.13863,140
./generations/generation2,26,11.1724,132
./generations/generation2,27,2.51133,140
./generations/generation2,28,6.68075,136
